STID,DateTime,RELH,TAIR,WSPD,WVEC,WDIR,WDSD,WSSD,WMAX,RAIN,PRES,SRAD,TA9M,WS2M
CHEY,2024-03-01T00:00:00+00:00,83.0,1.6,6.3,6.3,165.0,7.9,1.3,8.7,1.52,938.13,55.0,1.5,5.3
CHEY,2024-03-01T01:00:00+00:00,87.0,1.2,5.3,5.2,168.0,10.5,1.0,7.4,0.0,937.96,0.0,1.2,4.5
CHEY,2024-03-01T02:00:00+00:00,88.0,1.1,6.0,5.9,167.0,8.8,0.9,8.4,0.0,938.07,0.0,1.1,5.2
CHEY,2024-03-01T03:00:00+00:00,90.0,0.9,8.1,8.0,170.0,7.4,1.0,10.6,0.25,937.95,0.0,0.8,7.0
CHEY,2024-03-01T04:00:00+00:00,92.0,1.1,5.3,5.3,167.0,10.1,1.0,8.1,0.25,937.94,0.0,1.0,4.6
CHEY,2024-03-01T05:00:00+00:00,92.0,1.2,4.9,4.8,165.0,8.6,0.8,7.0,0.25,937.29,0.0,1.1,4.4
CHEY,2024-03-01T06:00:00+00:00,91.0,0.6,6.5,6.4,170.0,7.0,0.9,8.5,0.25,936.44,0.0,0.6,5.5
CHEY,2024-03-01T07:00:00+00:00,94.0,0.1,5.9,5.8,176.0,9.6,1.1,8.9,0.25,936.03,0.0,0.0,5.2
CHEY,2024-03-01T08:00:00+00:00,98.0,0.2,6.4,6.4,181.0,8.2,0.9,9.0,0.25,935.34,0.0,0.1,5.6
CHEY,2024-03-01T09:00:00+00:00,98.0,0.5,7.1,7.1,175.0,8.5,1.3,9.5,0.25,934.25,0.0,0.4,6.2
CHEY,2024-03-01T10:00:00+00:00,98.0,0.9,6.2,6.2,180.0,8.5,1.3,10.2,0.25,933.69,0.0,0.8,5.3
CHEY,2024-03-01T11:00:00+00:00,97.0,0.8,7.0,6.9,181.0,8.2,1.1,9.1,0.25,933.52,0.0,0.7,6.1
CHEY,2024-03-01T12:00:00+00:00,97.0,0.8,5.4,5.3,190.0,7.8,0.9,7.4,0.25,933.52,0.0,0.7,4.5
CHEY,2024-03-01T13:00:00+00:00,98.0,0.4,4.6,4.6,194.0,10.0,0.7,6.6,0.51,933.23,0.0,0.3,4.1
CHEY,2024-03-01T14:00:00+00:00,99.0,0.3,7.1,7.0,197.0,8.3,1.1,10.1,0.51,933.37,47.0,0.1,6.2
CHEY,2024-03-01T15:00:00+00:00,99.0,1.0,5.8,5.8,195.0,7.2,0.9,8.3,0.51,934.16,121.0,0.7,5.0
CHEY,2024-03-01T16:00:00+00:00,99.0,1.6,4.3,4.3,217.0,11.3,0.6,5.9,0.51,934.53,255.0,1.2,4.0
CHEY,2024-03-01T17:00:00+00:00,99.0,2.5,2.7,2.7,195.0,12.2,0.6,4.0,0.51,934.22,519.0,2.1,2.5
CHEY,2024-03-01T18:00:00+00:00,85.0,5.0,2.8,2.7,194.0,15.2,0.5,3.9,0.51,934.0,712.0,4.3,2.7
CHEY,2024-03-01T19:00:00+00:00,71.0,7.8,3.4,3.1,166.0,23.5,0.9,5.6,0.51,933.53,788.0,6.9,3.3
CHEY,2024-03-01T20:00:00+00:00,67.0,9.1,4.2,4.0,159.0,19.0,0.9,6.0,0.51,932.73,748.0,8.0,3.9
CHEY,2024-03-01T21:00:00+00:00,59.0,10.5,4.6,4.5,170.0,11.5,0.8,6.4,0.51,932.35,646.0,9.8,4.2
CHEY,2024-03-01T22:00:00+00:00,56.0,11.8,5.4,5.3,159.0,12.9,0.9,7.3,0.51,932.07,490.0,11.1,4.9
CHEY,2024-03-01T23:00:00+00:00,58.0,12.0,4.8,4.7,155.0,12.1,0.6,6.0,0.51,931.84,291.0,11.6,4.3
CHEY,2024-03-02T00:00:00+00:00,64.0,12.0,5.2,5.2,155.0,6.3,0.9,7.1,0.51,931.62,86.0,12.1,4.4
CHEY,2024-03-02T01:00:00+00:00,76.0,9.7,3.6,3.6,158.0,6.3,0.3,4.4,0.0,931.62,0.0,10.2,2.7
CHEY,2024-03-02T02:00:00+00:00,84.0,8.7,2.9,2.8,156.0,7.9,0.6,4.0,0.0,931.92,0.0,9.3,2.1
CHEY,2024-03-02T03:00:00+00:00,80.0,9.4,2.6,2.6,166.0,10.3,0.3,3.4,0.0,932.02,0.0,10.1,1.9
CHEY,2024-03-02T04:00:00+00:00,82.0,8.7,2.1,2.0,152.0,10.1,0.4,3.0,0.0,932.22,0.0,9.6,1.1
CHEY,2024-03-02T05:00:00+00:00,76.0,10.4,4.1,4.1,148.0,7.8,0.8,5.9,0.0,931.49,0.0,10.9,3.3
CHEY,2024-03-02T06:00:00+00:00,81.0,9.2,5.0,5.0,172.0,6.9,0.5,6.4,0.0,930.94,0.0,9.6,4.3
CHEY,2024-03-02T07:00:00+00:00,87.0,8.1,6.7,6.7,186.0,5.1,0.5,7.9,0.0,930.49,0.0,8.6,5.4
CHEY,2024-03-02T08:00:00+00:00,87.0,8.2,7.4,7.4,196.0,4.7,0.7,9.0,0.0,930.24,0.0,8.6,5.9
CHEY,2024-03-02T09:00:00+00:00,80.0,8.9,7.3,7.2,222.0,8.3,0.7,9.6,0.0,929.83,0.0,9.5,5.6
CHEY,2024-03-02T10:00:00+00:00,67.0,10.1,6.3,6.2,230.0,8.2,0.8,8.0,0.0,929.64,0.0,10.6,4.8
CHEY,2024-03-02T11:00:00+00:00,53.0,10.7,6.7,6.6,234.0,9.3,1.1,8.9,0.0,929.63,0.0,11.2,5.5
CHEY,2024-03-02T12:00:00+00:00,53.0,9.2,6.0,5.9,227.0,8.9,0.7,7.8,0.0,929.62,0.0,9.8,4.6
CHEY,2024-03-02T13:00:00+00:00,54.0,8.5,6.7,6.7,222.0,7.4,0.7,8.3,0.0,929.59,2.0,9.1,5.3
CHEY,2024-03-02T14:00:00+00:00,44.0,11.1,6.6,6.5,230.0,10.1,0.9,8.7,0.0,929.7,149.0,11.3,5.3
CHEY,2024-03-02T15:00:00+00:00,41.0,13.4,6.1,6.0,238.0,8.4,1.0,7.8,0.0,929.88,355.0,13.2,5.1
CHEY,2024-03-02T16:00:00+00:00,35.0,16.9,4.7,4.6,231.0,10.8,0.8,6.5,0.0,930.03,547.0,16.4,3.9
CHEY,2024-03-02T17:00:00+00:00,31.0,18.6,6.1,6.0,222.0,11.2,0.9,7.8,0.0,930.04,693.0,17.9,5.2
CHEY,2024-03-02T18:00:00+00:00,25.0,21.6,6.7,6.6,211.0,10.0,1.2,9.3,0.0,929.57,782.0,20.7,5.7
CHEY,2024-03-02T19:00:00+00:00,14.0,26.2,7.7,7.5,204.0,13.7,2.1,12.5,0.0,927.88,810.0,25.5,6.8
CHEY,2024-03-02T20:00:00+00:00,8.0,28.0,10.0,9.7,201.0,12.2,1.5,15.1,0.0,926.82,778.0,27.2,8.7
CHEY,2024-03-02T21:00:00+00:00,5.0,27.8,9.3,9.1,220.0,13.1,1.7,13.6,0.0,926.29,614.0,27.2,7.8
CHEY,2024-03-02T22:00:00+00:00,5.0,27.1,9.8,9.6,215.0,8.8,1.4,13.2,0.0,925.88,502.0,26.9,8.0
CHEY,2024-03-02T23:00:00+00:00,7.0,26.2,8.9,8.8,219.0,11.8,1.4,11.7,0.0,925.66,296.0,26.3,7.6
CHEY,2024-03-03T00:00:00+00:00,9.0,23.9,6.1,6.0,220.0,10.1,1.0,8.5,0.0,925.91,113.0,24.4,4.9
CHEY,2024-03-03T01:00:00+00:00,13.0,20.6,5.7,5.7,198.0,6.4,0.7,7.1,0.0,925.52,0.0,21.5,4.6
CHEY,2024-03-03T02:00:00+00:00,17.0,19.7,8.4,8.3,192.0,8.0,1.1,10.4,0.0,925.51,0.0,20.4,7.2
CHEY,2024-03-03T03:00:00+00:00,27.0,17.1,8.6,8.6,197.0,6.0,0.9,11.3,0.0,925.4,0.0,17.6,7.0
CHEY,2024-03-03T04:00:00+00:00,26.0,16.2,6.7,6.6,201.0,6.6,0.8,9.3,0.0,925.67,0.0,16.9,5.1
CHEY,2024-03-03T05:00:00+00:00,27.0,14.9,6.2,6.2,197.0,7.1,0.7,7.6,0.0,925.59,0.0,15.6,4.9
CHEY,2024-03-03T06:00:00+00:00,28.0,14.2,8.0,8.0,198.0,5.6,0.8,10.7,0.0,925.18,0.0,14.8,6.4
CHEY,2024-03-03T07:00:00+00:00,29.0,13.0,7.2,7.2,192.0,6.5,0.8,9.3,0.0,925.25,0.0,13.6,5.7
CHEY,2024-03-03T08:00:00+00:00,31.0,11.9,6.4,6.4,209.0,7.0,0.6,7.6,0.0,925.12,0.0,12.5,5.0
CHEY,2024-03-03T09:00:00+00:00,34.0,10.6,7.1,7.1,201.0,5.4,0.7,8.7,0.0,924.75,0.0,11.2,5.7
CHEY,2024-03-03T10:00:00+00:00,34.0,10.0,7.8,7.7,200.0,5.3,0.6,9.1,0.0,924.29,0.0,10.7,6.1
CHEY,2024-03-03T11:00:00+00:00,32.0,10.4,7.1,7.1,207.0,6.1,0.7,8.7,0.0,924.6,0.0,10.9,5.6
CHEY,2024-03-03T12:00:00+00:00,32.0,10.0,7.2,7.1,214.0,6.4,0.9,9.1,0.0,925.01,0.0,10.6,5.4
CHEY,2024-03-03T13:00:00+00:00,32.0,9.7,6.8,6.8,211.0,6.4,0.6,8.1,0.0,925.58,5.0,10.3,5.2
CHEY,2024-03-03T14:00:00+00:00,30.0,11.1,7.3,7.2,204.0,6.2,0.9,9.2,0.0,925.94,164.0,11.2,6.1
CHEY,2024-03-03T15:00:00+00:00,28.0,13.7,7.3,7.2,200.0,7.4,1.1,9.4,0.0,926.42,338.0,13.3,6.1
CHEY,2024-03-03T16:00:00+00:00,23.0,17.6,6.2,6.1,207.0,11.4,1.0,9.9,0.0,927.04,534.0,17.0,5.5
CHEY,2024-03-03T17:00:00+00:00,14.0,22.6,5.1,4.8,246.0,18.6,1.4,7.5,0.0,927.76,638.0,22.0,4.3
CHEY,2024-03-03T18:00:00+00:00,11.0,24.3,7.2,7.0,250.0,13.9,1.6,11.6,0.0,927.1,765.0,23.5,5.8
CHEY,2024-03-03T19:00:00+00:00,12.0,24.8,6.9,6.7,203.0,14.9,1.5,10.0,0.0,926.15,900.0,23.8,6.0
CHEY,2024-03-03T20:00:00+00:00,12.0,25.5,6.9,6.8,208.0,10.2,1.5,10.4,0.0,925.26,737.0,24.7,6.2
CHEY,2024-03-03T21:00:00+00:00,10.0,26.1,8.3,8.2,203.0,6.4,1.2,11.2,0.0,924.32,628.0,25.4,7.1
CHEY,2024-03-03T22:00:00+00:00,10.0,27.0,8.2,8.1,202.0,9.6,1.9,11.8,0.0,923.52,510.0,26.6,6.9
CHEY,2024-03-03T23:00:00+00:00,17.0,25.3,9.6,9.5,167.0,8.3,1.6,13.1,0.0,923.15,299.0,25.2,8.3
CHEY,2024-03-04T00:00:00+00:00,17.0,23.9,9.0,8.9,172.0,6.8,1.7,13.2,0.0,923.27,96.0,24.3,7.5
CHEY,2024-03-04T01:00:00+00:00,19.0,21.2,7.1,7.0,172.0,8.1,1.1,10.1,0.0,923.6,0.0,21.7,5.9
CHEY,2024-03-04T02:00:00+00:00,24.0,19.1,7.6,7.5,180.0,7.8,0.9,9.7,0.0,923.87,0.0,19.6,6.6
CHEY,2024-03-04T03:00:00+00:00,26.0,18.5,8.1,8.0,182.0,7.2,1.1,10.4,0.0,924.04,0.0,18.9,7.2
CHEY,2024-03-04T04:00:00+00:00,25.0,18.3,9.3,9.2,187.0,7.4,1.4,12.2,0.0,924.03,0.0,18.7,8.1
CHEY,2024-03-04T05:00:00+00:00,24.0,16.9,7.6,7.6,193.0,6.7,0.9,10.1,0.0,924.09,0.0,17.4,6.3
CHEY,2024-03-04T06:00:00+00:00,28.0,15.0,7.9,7.8,194.0,5.9,0.7,9.5,0.0,924.03,0.0,15.5,6.4
CHEY,2024-03-04T07:00:00+00:00,30.0,13.8,7.3,7.3,191.0,6.5,0.7,9.1,0.0,924.06,0.0,14.3,6.0
CHEY,2024-03-04T08:00:00+00:00,32.0,12.5,7.6,7.6,193.0,5.2,0.6,9.4,0.0,924.02,0.0,13.1,6.2
CHEY,2024-03-04T09:00:00+00:00,32.0,12.2,8.1,8.0,197.0,5.8,0.7,9.8,0.0,923.91,0.0,12.8,6.5
CHEY,2024-03-04T10:00:00+00:00,34.0,11.2,5.8,5.8,210.0,6.7,0.7,7.7,0.0,923.75,0.0,11.7,4.5
CHEY,2024-03-04T11:00:00+00:00,36.0,10.3,5.8,5.8,204.0,7.5,0.6,7.9,0.0,924.21,0.0,10.8,4.5
CHEY,2024-03-04T12:00:00+00:00,33.0,10.9,4.4,4.4,234.0,7.3,0.5,5.5,0.0,924.47,0.0,11.7,3.1
CHEY,2024-03-04T13:00:00+00:00,35.0,10.4,5.7,5.7,222.0,7.0,0.6,7.5,0.0,925.29,2.0,11.0,4.2
CHEY,2024-03-04T14:00:00+00:00,35.0,11.0,3.8,3.7,258.0,9.7,0.5,4.6,0.0,927.11,141.0,11.2,2.9
CHEY,2024-03-04T15:00:00+00:00,31.0,13.1,6.2,6.1,324.0,10.2,0.9,8.1,0.0,928.1,354.0,12.5,4.7
CHEY,2024-03-04T16:00:00+00:00,30.0,11.9,6.1,6.0,323.0,10.5,1.0,7.8,0.0,929.26,455.0,11.0,4.7
CHEY,2024-03-04T17:00:00+00:00,25.0,13.2,3.9,3.8,310.0,15.2,1.0,5.8,0.0,929.79,702.0,12.2,3.2
CHEY,2024-03-04T18:00:00+00:00,20.0,15.1,4.8,4.7,318.0,10.1,0.8,6.4,0.0,929.77,832.0,13.8,3.9
CHEY,2024-03-04T19:00:00+00:00,18.0,16.0,4.8,4.7,341.0,11.4,0.8,6.6,0.0,929.64,651.0,14.6,3.9
CHEY,2024-03-04T20:00:00+00:00,18.0,18.1,5.3,5.1,334.0,14.7,1.3,7.9,0.0,928.9,723.0,16.9,4.2
CHEY,2024-03-04T21:00:00+00:00,19.0,18.5,4.7,4.7,330.0,10.3,1.2,6.8,0.0,928.71,595.0,17.2,3.9
CHEY,2024-03-04T22:00:00+00:00,19.0,18.0,2.6,2.5,342.0,13.5,0.4,3.8,0.0,928.79,349.0,17.5,2.2
CHEY,2024-03-04T23:00:00+00:00,20.0,17.8,2.9,2.8,335.0,15.4,0.6,4.4,0.0,929.08,255.0,17.2,2.4
CHEY,2024-03-05T00:00:00+00:00,24.0,16.5,2.7,2.7,358.0,11.1,0.4,3.5,0.0,929.43,123.0,16.6,1.8
CHEY,2024-03-05T01:00:00+00:00,32.0,12.8,2.6,2.5,337.0,5.8,0.3,3.0,0.0,930.12,0.0,14.5,0.9
CHEY,2024-03-05T02:00:00+00:00,37.0,11.4,3.6,3.6,327.0,5.5,0.3,4.4,0.0,930.52,0.0,12.6,2.1
CHEY,2024-03-05T03:00:00+00:00,42.0,9.8,1.0,1.0,18.0,10.2,0.4,1.8,0.0,930.59,0.0,10.8,0.0
CHEY,2024-03-05T04:00:00+00:00,43.0,10.2,1.2,1.2,54.0,9.0,0.2,1.6,0.0,930.91,0.0,10.9,0.0
CHEY,2024-03-05T05:00:00+00:00,42.0,10.4,1.2,1.2,57.0,1.2,0.1,1.4,0.0,931.21,0.0,10.9,0.0
CHEY,2024-03-05T06:00:00+00:00,48.0,8.1,2.1,2.1,343.0,4.5,0.1,2.3,0.0,931.13,0.0,9.6,1.3
CHEY,2024-03-05T07:00:00+00:00,52.0,7.1,1.9,1.9,7.0,7.8,0.1,2.2,0.0,930.75,0.0,8.3,0.9
CHEY,2024-03-05T08:00:00+00:00,58.0,6.6,2.0,2.0,21.0,7.2,0.2,2.5,0.0,931.27,0.0,7.6,1.0
CHEY,2024-03-05T09:00:00+00:00,65.0,6.0,1.9,1.9,25.0,8.8,0.2,2.3,0.0,931.4,0.0,6.9,1.1
CHEY,2024-03-05T10:00:00+00:00,74.0,3.6,3.0,3.0,342.0,3.2,0.1,3.3,0.0,932.11,0.0,4.9,1.5
CHEY,2024-03-05T11:00:00+00:00,81.0,2.4,2.9,2.9,347.0,3.7,0.2,3.7,0.0,932.66,0.0,3.4,1.5
CHEY,2024-03-05T12:00:00+00:00,81.0,2.5,4.1,4.1,337.0,4.3,0.2,4.6,0.0,933.12,0.0,3.5,2.4
CHEY,2024-03-05T13:00:00+00:00,82.0,2.1,4.2,4.2,334.0,3.5,0.2,4.9,0.0,933.65,3.0,3.0,2.5
CHEY,2024-03-05T14:00:00+00:00,78.0,3.8,3.6,3.5,344.0,12.0,0.4,4.3,0.0,934.15,151.0,3.5,2.5
CHEY,2024-03-05T15:00:00+00:00,70.0,5.8,5.1,4.9,355.0,15.1,0.6,6.4,0.0,934.87,359.0,5.1,3.8
CHEY,2024-03-05T16:00:00+00:00,58.0,9.1,5.0,4.9,352.0,11.5,0.7,6.9,0.0,934.98,555.0,7.9,4.0
CHEY,2024-03-05T17:00:00+00:00,48.0,11.6,5.7,5.6,351.0,12.4,1.0,7.9,0.0,935.25,695.0,10.4,4.5
CHEY,2024-03-05T18:00:00+00:00,39.0,14.6,6.1,6.0,8.0,11.3,1.3,8.7,0.0,935.26,781.0,13.2,5.0
CHEY,2024-03-05T19:00:00+00:00,32.0,17.1,6.4,6.2,32.0,14.1,1.6,9.8,0.0,934.57,962.0,15.1,5.0
CHEY,2024-03-05T20:00:00+00:00,35.0,16.1,5.5,5.2,33.0,19.6,1.2,7.5,0.0,934.23,400.0,14.9,4.4
CHEY,2024-03-05T21:00:00+00:00,37.0,16.5,5.2,5.0,24.0,16.9,1.3,8.7,0.0,934.07,669.0,15.0,4.1
CHEY,2024-03-05T22:00:00+00:00,39.0,16.5,5.3,5.2,42.0,10.9,1.0,7.3,0.0,933.54,524.0,15.5,4.1
CHEY,2024-03-05T23:00:00+00:00,38.0,15.1,5.8,5.7,42.0,6.5,0.8,7.7,0.0,933.47,250.0,14.7,4.1
CHEY,2024-03-06T00:00:00+00:00,41.0,14.7,5.2,5.1,41.0,10.2,0.8,6.7,0.0,933.7,128.0,14.6,3.8
CHEY,2024-03-06T01:00:00+00:00,50.0,11.5,3.5,3.5,47.0,4.9,0.3,4.3,0.0,934.26,0.0,12.3,2.0
CHEY,2024-03-06T02:00:00+00:00,57.0,9.6,2.7,2.6,22.0,8.7,0.3,3.4,0.0,935.09,0.0,10.7,1.3
CHEY,2024-03-06T03:00:00+00:00,63.0,7.9,2.3,2.3,59.0,3.7,0.2,2.6,0.0,935.3,0.0,8.7,0.8
CHEY,2024-03-06T04:00:00+00:00,71.0,6.5,2.7,2.7,65.0,3.8,0.2,3.0,0.0,935.29,0.0,7.7,1.0
CHEY,2024-03-06T05:00:00+00:00,70.0,6.7,2.3,2.3,42.0,5.6,0.3,2.9,0.0,935.34,0.0,7.4,1.2
CHEY,2024-03-06T06:00:00+00:00,72.0,5.8,2.8,2.8,66.0,3.1,0.2,3.2,0.0,934.9,0.0,7.0,1.2
CHEY,2024-03-06T07:00:00+00:00,71.0,5.0,3.0,3.0,74.0,3.2,0.2,3.7,0.0,934.4,0.0,6.2,1.2
CHEY,2024-03-06T08:00:00+00:00,75.0,4.1,2.6,2.6,70.0,3.5,0.1,3.0,0.0,934.32,0.0,5.3,0.8
CHEY,2024-03-06T09:00:00+00:00,73.0,4.5,1.9,1.9,46.0,4.4,0.2,2.3,0.0,934.14,0.0,5.2,1.1
CHEY,2024-03-06T10:00:00+00:00,78.0,3.5,1.7,1.7,35.0,4.7,0.1,2.0,0.0,933.54,0.0,4.8,0.5
CHEY,2024-03-06T11:00:00+00:00,79.0,3.5,1.1,1.1,22.0,9.2,0.1,1.3,0.0,933.62,0.0,4.5,0.0
CHEY,2024-03-06T12:00:00+00:00,84.0,2.4,2.1,2.1,350.0,3.9,0.1,2.4,0.0,933.96,0.0,3.6,1.1
CHEY,2024-03-06T13:00:00+00:00,88.0,2.1,1.7,1.6,332.0,4.7,0.1,1.8,0.0,933.87,4.0,3.0,1.0
CHEY,2024-03-06T14:00:00+00:00,85.0,3.7,2.4,2.4,318.0,7.4,0.3,3.0,0.0,934.61,148.0,3.5,1.8
CHEY,2024-03-06T15:00:00+00:00,80.0,6.2,1.7,1.6,6.0,13.1,0.4,2.6,0.0,934.7,350.0,5.8,1.5
CHEY,2024-03-06T16:00:00+00:00,71.0,9.1,0.8,0.8,100.0,22.5,0.5,1.6,0.0,934.43,441.0,9.1,0.8
CHEY,2024-03-06T17:00:00+00:00,58.0,12.9,2.7,2.6,136.0,12.6,0.5,4.2,0.0,933.63,543.0,12.4,2.4
